date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:40	1021/1021	UR-M--	200	added ('OK')	text/css	date:Mon,%2029%20Sep%202025%2014:51:40%20GMT	https://fonts.googleapis.com/css2?family=Poppins:wght@200;300;400;500;700&display=swap	/home/mcastro/websites/AntiLipedema/fonts.googleapis.com/css2aa7b.css	(from https://lipeteste.dramanucaceres.com.br/)
11:51:42	194750/194750	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2279c79782c81b2665af946d25414a5f8c%22	https://lipeteste.dramanucaceres.com.br/favicon.ico	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/favicon.ico	(from https://lipeteste.dramanucaceres.com.br/static/chunks/14517-6d322daf571c69da.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j)
11:51:43	8524/8524	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2014:51:42%20GMT	https://lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/14517-6d322daf571c69da.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/14517-6d322daf571c69daf693.html	(from https://lipeteste.dramanucaceres.com.br/static/chunks/14517-6d322daf571c69da.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j)
11:51:44	8536/8536	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2014:51:43%20GMT	https://lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/e40d0b89-c0a42acabcb024ae.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/e40d0b89-c0a42acabcb024aef693.html	(from https://lipeteste.dramanucaceres.com.br/static/chunks/14517-6d322daf571c69da.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j)
11:51:45	8536/8536	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2014:51:44%20GMT	https://lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/39c3adb9-46d5cd0480f38726.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/39c3adb9-46d5cd0480f38726f693.html	(from https://lipeteste.dramanucaceres.com.br/static/chunks/14517-6d322daf571c69da.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j)
11:51:46	8524/8524	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2014:51:45%20GMT	https://lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/18681-08339c427856a9b9.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/18681-08339c427856a9b9f693.html	(from https://lipeteste.dramanucaceres.com.br/static/chunks/14517-6d322daf571c69da.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j)
11:51:47	8588/8588	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2014:51:46%20GMT	https://lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/static/chunks/14517-6d322daf571c69da.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/static/chunks/14517-6d322daf571c69daf693.html	(from https://lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/14517-6d322daf571c69da.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j)
11:51:48	8600/8600	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2014:51:47%20GMT	https://lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/static/chunks/e40d0b89-c0a42acabcb024ae.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/static/chunks/e40d0b89-c0a42acabcb024aef693.html	(from https://lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/14517-6d322daf571c69da.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j)
11:51:49	8600/8600	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2014:51:48%20GMT	https://lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/static/chunks/39c3adb9-46d5cd0480f38726.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/static/chunks/39c3adb9-46d5cd0480f38726f693.html	(from https://lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/14517-6d322daf571c69da.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j)
11:51:50	8588/8588	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2014:51:49%20GMT	https://lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/static/chunks/18681-08339c427856a9b9.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/static/chunks/18681-08339c427856a9b9f693.html	(from https://lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/14517-6d322daf571c69da.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j)
11:51:51	8652/8652	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2014:51:50%20GMT	https://lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/static/chunks/static/chunks/14517-6d322daf571c69da.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/static/chunks/static/chunks/14517-6d322daf571c69daf693.html	(from https://lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/static/chunks/14517-6d322daf571c69da.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j)
11:51:52	8664/8664	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2014:51:51%20GMT	https://lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/static/chunks/static/chunks/e40d0b89-c0a42acabcb024ae.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/static/chunks/static/chunks/e40d0b89-c0a42acabcb024aef693.html	(from https://lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/static/chunks/14517-6d322daf571c69da.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j)
11:51:53	8664/8664	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2014:51:52%20GMT	https://lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/static/chunks/static/chunks/39c3adb9-46d5cd0480f38726.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/static/chunks/static/chunks/39c3adb9-46d5cd0480f38726f693.html	(from https://lipeteste.dramanucaceres.com.br/static/chunks/static/chunks/static/chunks/14517-6d322daf571c69da.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j)
